query_name,query_scop_id,query_scop_lineage,query_scop_lineage_fixed,query_family,query_superfamily,query_fold,query_class
d1mija_ a.4.1.1 (A:) Homeo-prospero domain of Prospero protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]},d1mija_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d3sfxa_ a.118.6.0 (A:) automated matches {Cryptococcus neoformans [TaxId: 235443]},d3sfxa_,a.118.6.0,a.118.6.0,a.118.6.0,a.118.6,a.118,a
d2hi7b1 a.29.15.1 (B:14-162) Disulfide bond formation protein DsbB {Escherichia coli [TaxId: 562]},d2hi7b1,a.29.15.1,a.29.15.1,a.29.15.1,a.29.15,a.29,a
d1pufa_ a.4.1.1 (A:) Homeobox protein hox-a9 {Mouse (Mus musculus) [TaxId: 10090]},d1pufa_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
"d1uhsa1 a.4.1.1 (A:9-72) Homeodomain-only protein, Hop {Mouse (Mus musculus) [TaxId: 10090]}",d1uhsa1,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d2o8pa1 a.118.7.1 (A:8-227) 14-3-3 domain containing protein cgd7_2470 {Cryptosporidium parvum [TaxId: 5807]},d2o8pa1,a.118.7.1,a.118.7.1,a.118.7.1,a.118.7,a.118,a
d2rlda1 a.29.16.1 (A:1-115) Uncharacterized protein BT0352 {Bacteroides thetaiotaomicron [TaxId: 818]},d2rlda1,a.29.16.1,a.29.16.1,a.29.16.1,a.29.16,a.29,a
d1x58a1 a.4.1.1 (A:8-56) Hypothetical protein 4930532d21rik {Mouse (Mus musculus) [TaxId: 10090]},d1x58a1,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d2gsca1 a.29.16.1 (A:9-125) Uncharacterized protein XCC0516 {Xanthomonas campestris pv. campestris [TaxId: 340]},d2gsca1,a.29.16.1,a.29.16.1,a.29.16.1,a.29.16,a.29,a
d1bw5a_ a.4.1.1 (A:) Insulin gene enhancer protein isl-1 {Norway rat (Rattus norvegicus) [TaxId: 10116]},d1bw5a_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d3efza1 a.118.7.1 (A:46-268) 14-3-3 protein cgd1_2980 {Cryptosporidium parvum [TaxId: 5807]},d3efza1,a.118.7.1,a.118.7.1,a.118.7.1,a.118.7,a.118,a
"d1x2ma1 a.4.1.1 (A:8-58) Lag1 longevity assurance homolog 6, LASS6 {Mouse (Mus musculus) [TaxId: 10090]}",d1x2ma1,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d2hgka1 a.29.17.1 (A:1-109) Hypothetical protein YqcC {Escherichia coli [TaxId: 562]},d2hgka1,a.29.17.1,a.29.17.1,a.29.17.1,a.29.17,a.29,a
d1k61a_ a.4.1.1 (A:) mat alpha2 Homeodomain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]},d1k61a_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d1nkda_ a.30.1.1 (A:) ROP protein {Escherichia coli [TaxId: 562]},d1nkda_,a.30.1.1,a.30.1.1,a.30.1.1,a.30.1,a.30,a
d3mhra1 a.118.7.1 (A:1-231) automated matches {Human (Homo sapiens) [TaxId: 9606]},d3mhra1,a.118.7.1,a.118.7.1,a.118.7.1,a.118.7,a.118,a
d1akha_ a.4.1.1 (A:) Mating type protein A1 Homeodomain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]},d1akha_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d1b3qa1 a.30.2.1 (A:293-354) Histidine kinase CheA {Thermotoga maritima [TaxId: 2336]},d1b3qa1,a.30.2.1,a.30.2.1,a.30.2.1,a.30.2,a.30,a
d1pufb_ a.4.1.1 (B:) pbx1 {Human (Homo sapiens) [TaxId: 9606]},d1pufb_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d2c2aa1 a.30.2.1 (A:232-320) Sensor histidine kinase TM0853 {Thermotoga maritima [TaxId: 2336]},d2c2aa1,a.30.2.1,a.30.2.1,a.30.2.1,a.30.2,a.30,a
"d1x41a1 a.4.1.1 (A:8-54) Transcriptional adaptor 2-like, TADA2L, isoform b {Human (Homo sapiens) [TaxId: 9606]}",d1x41a1,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d1zb1a_ a.118.8.1 (A:) Bro1 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]},d1zb1a_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d5b1na_ a.30.2.1 (A:) automated matches {Escherichia coli [TaxId: 562]},d5b1na_,a.30.2.1,a.30.2.1,a.30.2.1,a.30.2,a.30,a
d1qrya1 a.4.1.1 (A:5-80) VND/NK-2 protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]},d1qrya1,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
"d1pd3a_ a.30.3.1 (A:) Nonstructural protein ns2, Nep, M1-binding domain {Influenza A virus, different strains [TaxId: 11320]}",d1pd3a_,a.30.3.1,a.30.3.1,a.30.3.1,a.30.3,a.30,a
d1wh7a1 a.4.1.1 (A:8-74) ZF-HD homeobox protein At4g24660 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]},d1wh7a1,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d1ihga1 a.118.8.1 (A:197-365) Cyclophilin 40 {Cow (Bos taurus) [TaxId: 9913]},d1ihga1,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d1ufia1 a.30.4.1 (A:5-50) Dimerisation domain of CENP-B {Human (Homo sapiens) [TaxId: 9606]},d1ufia1,a.30.4.1,a.30.4.1,a.30.4.1,a.30.4,a.30,a
"d3nara_ a.4.1.1 (A:) Zinc fingers and homeoboxes protein 1, ZHX1 {Human (Homo sapiens) [TaxId: 9606]}",d3nara_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d1skva1 a.30.5.1 (A:2-63) Hypothetical protein D-63 {Sulfolobus virus-like particle SSV1 [TaxId: 244589]},d1skva1,a.30.5.1,a.30.5.1,a.30.5.1,a.30.5,a.30,a
d1elwa_ a.118.8.1 (A:) Hop {Human (Homo sapiens) [TaxId: 9606]},d1elwa_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d3a02a_ a.4.1.1 (A:) automated matches {Fruit fly (Drosophila melanogaster) [TaxId: 7227]},d3a02a_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d1zkea1 a.30.6.1 (A:1-79) Hypothetical protein HP1531 {Helicobacter pylori [TaxId: 210]},d1zkea1,a.30.6.1,a.30.6.1,a.30.6.1,a.30.6,a.30,a
d3a01a_ a.4.1.1 (A:) automated matches {Fruit fly (Drosophila melanogaster) [TaxId: 7227]},d3a01a_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d3eska1 a.118.8.1 (A:223-349) Hop {Human (Homo sapiens) [TaxId: 9606]},d3eska1,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
"d2c0sa1 a.30.7.1 (A:1-57) Hypothetical protein BAS4809, C-terminal domain {Anthrax bacillus (Bacillus anthracis) [TaxId: 1392]}",d2c0sa1,a.30.7.1,a.30.7.1,a.30.7.1,a.30.7,a.30,a
d3k2aa_ a.4.1.1 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d3k2aa_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
"d2az0a1 a.30.8.1 (A:2-71) B2 {Flock house virus, FHV [TaxId: 12287]}",d2az0a1,a.30.8.1,a.30.8.1,a.30.8.1,a.30.8,a.30,a
d3im3a_ a.31.1.1 (A:) cAMP-dependent protein kinase type I-alpha regulatory subunit {Cow (Bos taurus) [TaxId: 9913]},d3im3a_,a.31.1.1,a.31.1.1,a.31.1.1,a.31.1,a.31,a
d1xnfa_ a.118.8.1 (A:) Lipoprotein NlpI {Escherichia coli [TaxId: 562]},d1xnfa_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d2mw8a_ a.4.1.1 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d2mw8a_,a.4.1.1,a.4.1.1,a.4.1.1,a.4.1,a.4,a
d2izxa_ a.31.1.1 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d2izxa_,a.31.1.1,a.31.1.1,a.31.1.1,a.31.1,a.31,a
"d1gdta1 a.4.1.2 (A:141-183) gamma,delta resolvase (C-terminal domain) {Escherichia coli [TaxId: 562]}",d1gdta1,a.4.1.2,a.4.1.2,a.4.1.2,a.4.1,a.4,a
"d1nh2b_ a.32.1.1 (B:) Large chain TOA1, N-terminal domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}",d1nh2b_,a.32.1.1,a.32.1.1,a.32.1.1,a.32.1,a.32,a
d1ijwc_ a.4.1.2 (C:) HIN recombinase (DNA-binding domain) {Synthetic},d1ijwc_,a.4.1.2,a.4.1.2,a.4.1.2,a.4.1,a.4,a
d4gq4a2 a.118.8.1 (A:231-588) Menin C-terminal domain {Human (Homo sapiens) [TaxId: 9606]},d4gq4a2,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
"d1nvpb_ a.32.1.1 (B:) Large chain TOA1, N-terminal domain {Human (Homo sapiens) [TaxId: 9606]}",d1nvpb_,a.32.1.1,a.32.1.1,a.32.1.1,a.32.1,a.32,a
"d1nh2d1 a.32.1.1 (D:5-54) Small chain TOA2, N-terminal domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}",d1nh2d1,a.32.1.1,a.32.1.1,a.32.1.1,a.32.1,a.32,a
d2ezla_ a.4.1.2 (A:) Ibeta subdomain of the mu end DNA-binding domain of phage mu transposase {Bacteriophage Mu [TaxId: 10677]},d2ezla_,a.4.1.2,a.4.1.2,a.4.1.2,a.4.1,a.4,a
d1nzna1 a.118.8.1 (A:4-124) Mitochondria fission protein Fis1 {Human (Homo sapiens) [TaxId: 9606]},d1nzna1,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
"d1ecia_ a.33.1.1 (A:) Ectatomin subunit A, EA {Ant (Ectatomma tuberculatum), venom [TaxId: 39300]}",d1ecia_,a.33.1.1,a.33.1.1,a.33.1.1,a.33.1,a.33,a
d1b0nb_ a.34.1.1 (B:) SinI anti-repressor {Bacillus subtilis [TaxId: 1423]},d1b0nb_,a.34.1.1,a.34.1.1,a.34.1.1,a.34.1,a.34,a
d2ezia_ a.4.1.2 (A:) Transposase {Bacteriophage Mu [TaxId: 10677]},d2ezia_,a.4.1.2,a.4.1.2,a.4.1.2,a.4.1,a.4,a
d1b0na1 a.34.1.1 (A:74-108) SinR repressor dimerisation domain {Bacillus subtilis [TaxId: 1423]},d1b0na1,a.34.1.1,a.34.1.1,a.34.1.1,a.34.1,a.34,a
d1zu2a1 a.118.8.1 (A:1-145) Mitochondrial import receptor subunit tom20-3 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]},d1zu2a1,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d1tc3c_ a.4.1.2 (C:) Transposase tc3a1-65 {Nematode (Caenorhabditis elegans) [TaxId: 6239]},d1tc3c_,a.4.1.2,a.4.1.2,a.4.1.2,a.4.1,a.4,a
"d1g2ya_ a.34.2.1 (A:) Hepatocyte nuclear factor 1 (HNF-1), N-terminal domain {Mouse (Mus musculus) [TaxId: 10090]}",d1g2ya_,a.34.2.1,a.34.2.1,a.34.2.1,a.34.2,a.34,a
d1u78a2 a.4.1.2 (A:55-104) Transposase tc3a1-65 {Nematode (Caenorhabditis elegans) [TaxId: 6239]},d1u78a2,a.4.1.2,a.4.1.2,a.4.1.2,a.4.1,a.4,a
d1pzqa1 a.34.3.1 (A:3-60) Erythronolide synthase {Saccharopolyspora erythraea [TaxId: 1836]},d1pzqa1,a.34.3.1,a.34.3.1,a.34.3.1,a.34.3,a.34,a
d1ug2a1 a.4.1.3 (A:1-89) 2610100b20rik gene product {Mouse (Mus musculus) [TaxId: 10090]},d1ug2a1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
"d1q2ha_ a.34.4.1 (A:) Adapter protein APS, dimerisation domain {Human (Homo sapiens) [TaxId: 9606]}",d1q2ha_,a.34.4.1,a.34.4.1,a.34.4.1,a.34.4,a.34,a
"d1w3ba_ a.118.8.1 (A:) O-GlcNAc transferase, OGT {Human (Homo sapiens) [TaxId: 9606]}",d1w3ba_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d1a5ja2 a.4.1.3 (A:56-110) b-Myb DNA binding domain {Chicken (Gallus gallus) [TaxId: 9031]},d1a5ja2,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
d1ic8a2 a.35.1.1 (A:87-180) Hepatocyte nuclear factor 1a (LFB1/HNF1) {Human (Homo sapiens) [TaxId: 9606]},d1ic8a2,a.35.1.1,a.35.1.1,a.35.1.1,a.35.1,a.35,a
"d1guua_ a.4.1.3 (A:) c-Myb, DNA-binding domain {Mouse (Mus musculus) [TaxId: 10090]}",d1guua_,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
"d2vsna1 a.118.8.1 (A:22-192) O-GlcNAc transferase, OGT {Xanthomonas campestris [TaxId: 314565]}",d2vsna1,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
"d1r69a_ a.35.1.2 (A:) 434 C1 repressor, DNA-binding domain {Bacteriophage 434 [TaxId: 10712]}",d1r69a_,a.35.1.2,a.35.1.2,a.35.1.2,a.35.1,a.35,a
d2cqqa1 a.4.1.3 (A:8-66) DnaJ homolog subfamily C member 1 {Human (Homo sapiens) [TaxId: 9606]},d2cqqa1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
d2ecsa_ a.35.1.2 (A:) cro lambda repressor {Bacteriophage lambda [TaxId: 10710]},d2ecsa_,a.35.1.2,a.35.1.2,a.35.1.2,a.35.1,a.35,a
d2cqra1 a.4.1.3 (A:8-66) DnaJ homolog subfamily C member 1 {Human (Homo sapiens) [TaxId: 9606]},d2cqra1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
d1rzsa_ a.35.1.2 (A:) cro p22 {Bacteriophage p22 [TaxId: 10754]},d1rzsa_,a.35.1.2,a.35.1.2,a.35.1.2,a.35.1,a.35,a
d1wgxa1 a.4.1.3 (A:8-67) Hypothetical protein C14orf106 (KIAA1903) {Human (Homo sapiens) [TaxId: 9606]},d1wgxa1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
d1fcha_ a.118.8.1 (A:) Peroxin pex5 (peroxisomal targeting signal 1 (PTS1) receptor) {Human (Homo sapiens) [TaxId: 9606]},d1fcha_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d2crga1 a.4.1.3 (A:8-64) Metastasis associated protein MTA3 {Mouse (Mus musculus) [TaxId: 10090]},d2crga1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
"d3kz3a_ a.35.1.2 (A:) lambda C1 repressor, DNA-binding domain {Bacteriophage lambda [TaxId: 10710]}",d3kz3a_,a.35.1.2,a.35.1.2,a.35.1.2,a.35.1,a.35,a
d1hxia_ a.118.8.1 (A:) Peroxin pex5 (peroxisomal targeting signal 1 (PTS1) receptor) {Trypanosome (Trypanosoma brucei) [TaxId: 5691]},d1hxia_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d2cu7a1 a.4.1.3 (A:8-72) MYSM1 (KIAA1915) {Human (Homo sapiens) [TaxId: 9606]},d2cu7a1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
d1neqa_ a.35.1.2 (A:) Ner {Bacteriophage Mu [TaxId: 10677]},d1neqa_,a.35.1.2,a.35.1.2,a.35.1.2,a.35.1,a.35,a
d2cjja1 a.4.1.3 (A:8-70) Radialis {Garden snapdragon (Antirrhinum majus) [TaxId: 4151]},d2cjja1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
"d3jxbc_ a.35.1.2 (C:) P22 C2 repressor, DNA-binding domain {Salmonella bacteriophage P22 [TaxId: 10754]}",d3jxbc_,a.35.1.2,a.35.1.2,a.35.1.2,a.35.1,a.35,a
d1fexa_ a.4.1.3 (A:) Rap1 {Human (Homo sapiens) [TaxId: 9606]},d1fexa_,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
d2icta_ a.35.1.3 (A:) Antitoxin HigA {Escherichia coli [TaxId: 562]},d2icta_,a.35.1.3,a.35.1.3,a.35.1.3,a.35.1,a.35,a
"d2uxnb1 a.4.1.3 (B:376-440) REST corepressor 1, CoREST {Human (Homo sapiens) [TaxId: 9606]}",d2uxnb1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
d5ganj_ a.118.8.1 (J:) Pre-mRNA splicing factor 6 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]},d5ganj_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d4mcxa_ a.35.1.3 (A:) Antitoxin HigA {Proteus vulgaris [TaxId: 585]},d4mcxa_,a.35.1.3,a.35.1.3,a.35.1.3,a.35.1,a.35,a
d1ofcx1 a.4.1.3 (X:799-850) SANT domain of the nucleosome remodeling ATPase ISWI {Fruit fly (Drosophila melanogaster) [TaxId: 7227]},d1ofcx1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
"d2bnma1 a.35.1.3 (A:5-76) Hydroxypropylphosphonic acid epoxidase Fom4, N-terminal domain {Streptomyces wedmorensis [TaxId: 43759]}",d2bnma1,a.35.1.3,a.35.1.3,a.35.1.3,a.35.1,a.35,a
d2ckxa1 a.4.1.3 (A:578-660) Telomere binding protein TBP1 {Tobacco (Nicotiana tabacum) [TaxId: 4097]},d2ckxa1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
d2xi8a_ a.35.1.3 (A:) Putative transcription regulator CylR2 {Enterococcus faecalis [TaxId: 1351]},d2xi8a_,a.35.1.3,a.35.1.3,a.35.1.3,a.35.1,a.35,a
d1h8ac1 a.4.1.3 (C:87-143) v-Myb {Avian myeloblastosis virus [TaxId: 11866]},d1h8ac1,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
d4a69c_ a.4.1.3 (C:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d4a69c_,a.4.1.3,a.4.1.3,a.4.1.3,a.4.1,a.4,a
d2ofya1 a.35.1.3 (A:3-84) Putative transcriptional regulator RHA1_ro04071 {Rhodococcus sp. RHA1 [TaxId: 101510]},d2ofya1,a.35.1.3,a.35.1.3,a.35.1.3,a.35.1,a.35,a
d5o9zg_ a.118.8.1 (G:) Pre-mRNA splicing factor 6 {Human (Homo sapiens) [TaxId: 9606]},d5o9zg_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d3sjma_ a.4.1.4 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d3sjma_,a.4.1.4,a.4.1.4,a.4.1.4,a.4.1,a.4,a
d1y7ya1 a.35.1.3 (A:5-73) Restriction-modification controller protein C.AhdI {Aeromonas hydrophila [TaxId: 644]},d1y7ya1,a.35.1.3,a.35.1.3,a.35.1.3,a.35.1,a.35,a
d1a17a_ a.118.8.1 (A:) Protein phosphatase 5 {Human (Homo sapiens) [TaxId: 9606]},d1a17a_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d1k78a1 a.4.1.5 (A:19-81) Pax-5 {Human (Homo sapiens) [TaxId: 9606]},d1k78a1,a.4.1.5,a.4.1.5,a.4.1.5,a.4.1,a.4,a
"d1b0na2 a.35.1.3 (A:1-68) SinR repressor, DNA-binding domain {Bacillus subtilis [TaxId: 1423]}",d1b0na2,a.35.1.3,a.35.1.3,a.35.1.3,a.35.1,a.35,a
d1k78a2 a.4.1.5 (A:82-142) Pax-5 {Human (Homo sapiens) [TaxId: 9606]},d1k78a2,a.4.1.5,a.4.1.5,a.4.1.5,a.4.1,a.4,a
d2ppxa1 a.35.1.3 (A:30-91) Uncharacterized protein Atu1735 {Agrobacterium tumefaciens [TaxId: 358]},d2ppxa1,a.35.1.3,a.35.1.3,a.35.1.3,a.35.1,a.35,a
d2fbna1 a.118.8.1 (A:22-174) Putative 70 kda peptidylprolyl isomerase PFL2275c {Malaria parasite (Plasmodium falciparum) [TaxId: 5833]},d2fbna1,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
"d1igna2 a.4.1.6 (A:446-594) DNA-binding domain of rap1, C-terminal domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}",d1igna2,a.4.1.6,a.4.1.6,a.4.1.6,a.4.1,a.4,a
d2ox6a1 a.35.1.6 (A:5-166) Hypothetical protein SO3848 {Shewanella oneidensis [TaxId: 70863]},d2ox6a1,a.35.1.6,a.35.1.6,a.35.1.6,a.35.1,a.35,a
"d1igna1 a.4.1.6 (A:360-445) DNA-binding domain of rap1, N-terminal domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}",d1igna1,a.4.1.6,a.4.1.6,a.4.1.6,a.4.1,a.4,a
d1s4ka1 a.35.1.6 (A:1-119) Putative cytoplasmic protein YdiL {Salmonella typhimurium [TaxId: 90371]},d1s4ka1,a.35.1.6,a.35.1.6,a.35.1.6,a.35.1,a.35,a
d1ya0a1 a.118.8.1 (A:1-497) SMG-7 {Human (Homo sapiens) [TaxId: 9606]},d1ya0a1,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
"d1iufa1 a.4.1.7 (A:1-75) Ars-binding protein 1, ABP1 {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}",d1iufa1,a.4.1.7,a.4.1.7,a.4.1.7,a.4.1,a.4,a
"d1wh8a1 a.35.1.7 (A:8-105) Homeobox protein Cux-2, CUTL2 {Human (Homo sapiens) [TaxId: 9606]}",d1wh8a1,a.35.1.7,a.35.1.7,a.35.1.7,a.35.1,a.35,a
"d1iufa2 a.4.1.7 (A:76-141) Ars-binding protein 1, ABP1 {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}",d1iufa2,a.4.1.7,a.4.1.7,a.4.1.7,a.4.1,a.4,a
d2o4aa2 a.35.1.7 (A:370-452) automated matches {Human (Homo sapiens) [TaxId: 9606]},d2o4aa2,a.35.1.7,a.35.1.7,a.35.1.7,a.35.1,a.35,a
d1qqea_ a.118.8.1 (A:) Vesicular transport protein sec17 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]},d1qqea_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d1hlva1 a.4.1.7 (A:1-66) DNA-binding domain of centromere binding protein B (CENP-B) {Human (Homo sapiens) [TaxId: 9606]},d1hlva1,a.4.1.7,a.4.1.7,a.4.1.7,a.4.1,a.4,a
d2q7fa1 a.118.8.1 (A:127-191) automated matches {Bacillus subtilis [TaxId: 1423]},d2q7fa1,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d1hlva2 a.4.1.7 (A:67-129) DNA-binding domain of centromere binding protein B (CENP-B) {Human (Homo sapiens) [TaxId: 9606]},d1hlva2,a.4.1.7,a.4.1.7,a.4.1.7,a.4.1,a.4,a
d2d5va1 a.35.1.7 (A:1-79) automated matches {Norway rat (Rattus norvegicus) [TaxId: 10116]},d2d5va1,a.35.1.7,a.35.1.7,a.35.1.7,a.35.1,a.35,a
d1bl0a1 a.4.1.8 (A:9-62) MarA {Escherichia coli [TaxId: 562]},d1bl0a1,a.4.1.8,a.4.1.8,a.4.1.8,a.4.1,a.4,a
"d1y9qa1 a.35.1.8 (A:4-82) Probable transcriptional regulator VC1968, N-terminal domain {Vibrio cholerae [TaxId: 666]}",d1y9qa1,a.35.1.8,a.35.1.8,a.35.1.8,a.35.1,a.35,a
d3o48a1 a.118.8.1 (A:5-127) automated matches {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]},d3o48a1,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d1bl0a2 a.4.1.8 (A:63-124) MarA {Escherichia coli [TaxId: 562]},d1bl0a2,a.4.1.8,a.4.1.8,a.4.1.8,a.4.1,a.4,a
d1zs4a1 a.35.1.9 (A:4-81) Regulatory protein cII {Bacteriophage lambda [TaxId: 10710]},d1zs4a1,a.35.1.9,a.35.1.9,a.35.1.9,a.35.1,a.35,a
"d1d5ya2 a.4.1.8 (A:57-121) Rob transcription factor, N-terminal domain {Escherichia coli [TaxId: 562]}",d1d5ya2,a.4.1.8,a.4.1.8,a.4.1.8,a.4.1,a.4,a
d2auwa1 a.35.1.10 (A:88-154) Hypothetical protein NE0471 C-terminal domain {Nitrosomonas europaea [TaxId: 915]},d2auwa1,a.35.1.10,a.35.1.10,a.35.1.10,a.35.1,a.35,a
d1wm5a2 a.118.8.1 (A:1-203) automated matches {Human (Homo sapiens) [TaxId: 9606]},d1wm5a2,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d1ui5a1 a.4.1.9 (A:5-75) A-factor receptor homolog CprB {Streptomyces coelicolor [TaxId: 1902]},d1ui5a1,a.4.1.9,a.4.1.9,a.4.1.9,a.4.1,a.4,a
d2awia1 a.35.1.11 (A:2-66) PrgX {Enterococcus faecalis [TaxId: 1351]},d2awia1,a.35.1.11,a.35.1.11,a.35.1.11,a.35.1,a.35,a
d4jyka1 a.4.1.9 (A:12-86) Hypothetical transcriptional regulator YcdC {Escherichia coli [TaxId: 562]},d4jyka1,a.4.1.9,a.4.1.9,a.4.1.9,a.4.1,a.4,a
d2vyia_ a.118.8.1 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d2vyia_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
"d1x57a1 a.35.1.12 (A:8-85) Endothelial differentiation-related factor 1, EDF1 {Human (Homo sapiens) [TaxId: 9606]}",d1x57a1,a.35.1.12,a.35.1.12,a.35.1.12,a.35.1,a.35,a
d1rkta1 a.4.1.9 (A:2-82) Hypothetical transcriptional regulator YfiR {Bacillus subtilis [TaxId: 1423]},d1rkta1,a.4.1.9,a.4.1.9,a.4.1.9,a.4.1,a.4,a
d6evla_ a.118.8.1 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d6evla_,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d2a6ca1 a.35.1.13 (A:1-69) HTH-motif protein NE1354 {Nitrosomonas europaea [TaxId: 915]},d2a6ca1,a.35.1.13,a.35.1.13,a.35.1.13,a.35.1,a.35,a
d1vi0a1 a.4.1.9 (A:6-77) Hypothetical transcriptional regulator YsiA {Bacillus subtilis [TaxId: 1423]},d1vi0a1,a.4.1.9,a.4.1.9,a.4.1.9,a.4.1,a.4,a
d2vgxa1 a.118.8.1 (A:37-100) automated matches {Yersinia enterocolitica [TaxId: 630]},d2vgxa1,a.118.8.1,a.118.8.1,a.118.8.1,a.118.8,a.118,a
d2o38a1 a.35.1.13 (A:28-116) Hypothetical protein RPA3824 {Rhodopseudomonas palustris [TaxId: 1076]},d2o38a1,a.35.1.13,a.35.1.13,a.35.1.13,a.35.1,a.35,a
d3br0a1 a.4.1.9 (A:2-72) Multidrug binding protein QacR {Staphylococcus aureus [TaxId: 1280]},d3br0a1,a.4.1.9,a.4.1.9,a.4.1.9,a.4.1,a.4,a
